_id,Codice_ateco,Descrizione_ateco
394,13.99,13.99 - Fabbricazione di altri prodotti tessili nca
395,13.99.1,13.99.1 - Fabbricazione di ricami
396,13.99.10,13.99.10 - Fabbricazione di ricami
397,13.99.2,"13.99.2 - Fabbricazione di tulle, pizzi e merletti"
398,13.99.20,"13.99.20 - Fabbricazione di tulle, pizzi e merletti"
399,13.99.9,13.99.9 - Fabbricazione di feltro e articoli tessili diversi
400,13.99.90,13.99.90 - Fabbricazione di feltro e articoli tessili diversi
401,14,14 - CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA
402,14.1,14.1 - CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO (ESCLUSO ABBIGLIAMENTO IN PELLICCIA)
403,14.11,14.11 - Confezione di abbigliamento in pelle
404,14.11.0,14.11.0 - Confezione di abbigliamento in pelle e similpelle
405,14.11.00,14.11.00 - Confezione di abbigliamento in pelle e similpelle
406,14.12,14.12 - Confezione di indumenti da lavoro
407,14.12.0,"14.12.0 - Confezione di camici, divise ed altri indumenti da lavoro"
408,14.12.00,"14.12.00 - Confezione di camici, divise ed altri indumenti da lavoro"
409,14.13,14.13 - Confezione di altro abbigliamento esterno
410,14.13.1,14.13.1 - Confezione in serie di abbigliamento esterno
411,14.13.10,14.13.10 - Confezione in serie di abbigliamento esterno
412,14.13.2,14.13.2 - Sartoria e confezione su misura di abbigliamento esterno
413,14.13.20,14.13.20 - Sartoria e confezione su misura di abbigliamento esterno
414,14.14,14.14 - Confezione di biancheria intima
415,14.14.0,"14.14.0 - Confezione di camicie, T-shirt, corsetteria e altra biancheria intima"
416,14.14.00,"14.14.00 - Confezione di camicie, T-shirt, corsetteria e altra biancheria intima"
417,14.19,14.19 - Confezione di altri articoli di abbigliamento ed accessori
418,14.19.1,14.19.1 - Confezioni varie e accessori per l'abbigliamento
419,14.19.10,14.19.10 - Confezioni varie e accessori per l'abbigliamento
420,14.19.2,14.19.2 - Confezioni di abbigliamento sportivo o indumenti particolari
421,14.19.21,14.19.21 - Fabbricazione di calzature realizzate in materiale tessile senza suole applicate
422,14.19.29,14.19.29 - Confezioni di abbigliamento sportivo o di altri indumenti particolari
423,14.2,14.2 - CONFEZIONE DI ARTICOLI IN PELLICCIA
424,14.20,14.20 - Confezione di articoli in pelliccia
425,14.20.0,14.20.0 - Confezione di articoli in pelliccia
426,14.20.00,14.20.00 - Confezione di articoli in pelliccia
427,14.3,14.3 - FABBRICAZIONE DI ARTICOLI DI MAGLIERIA
428,14.31,14.31 - Fabbricazione di articoli di calzetteria in maglia
429,14.31.0,14.31.0 - Fabbricazione di articoli di calzetteria in maglia
430,14.31.00,14.31.00 - Fabbricazione di articoli di calzetteria in maglia
431,14.39,14.39 - Fabbricazione di altri articoli di maglieria
432,14.39.0,"14.39.0 - Fabbricazione di pullover, cardigan ed altri articoli simili a maglia"
433,14.39.00,"14.39.00 - Fabbricazione di pullover, cardigan ed altri articoli simili a maglia"
434,15,15 - FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI
435,15.1,"15.1 - PREPARAZIONE E CONCIA DEL CUOIO; FABBRICAZIONE DI ARTICOLI DA VIAGGIO, BORSE, PELLETTERIA E SELLERIA; PREPARAZIONE E TINTURA DI PELLICCE"
436,15.11,15.11 - Preparazione e concia del cuoio; preparazione e tintura di pellicce
437,15.11.0,15.11.0 - Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce
438,15.11.00,15.11.00 - Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce
439,15.12,"15.12 - Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria"
440,15.12.0,"15.12.0 - Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria"
441,15.12.01,15.12.01 - Fabbricazione di frustini e scudisci per equitazione
442,15.12.09,"15.12.09 - Fabbricazione di altri articoli da viaggio, borse e simili, pelletteria e selleria"
443,15.2,15.2 - FABBRICAZIONE DI CALZATURE
444,15.20,15.20 - Fabbricazione di calzature
445,15.20.1,15.20.1 - Fabbricazione di calzature
446,15.20.10,15.20.10 - Fabbricazione di calzature
447,15.20.2,15.20.2 - Fabbricazione di parti in cuoio per calzature
448,15.20.20,15.20.20 - Fabbricazione di parti in cuoio per calzature
449,16,16 - INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLUSI I MOBILI); FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO
450,16.1,16.1 - TAGLIO E PIALLATURA DEL LEGNO
451,16.10,16.10 - Taglio e piallatura del legno
452,16.10.0,16.10.0 - Taglio e piallatura del legno
453,16.10.00,16.10.00 - Taglio e piallatura del legno
454,16.2,"16.2 - FABBRICAZIONE DI PRODOTTI IN LEGNO, SUGHERO, PAGLIA E MATERIALI DA INTRECCIO"
455,16.21,16.21 - Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
456,16.21.0,16.21.0 - Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
457,16.21.00,16.21.00 - Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
458,16.22,16.22 - Fabbricazione di pavimenti in parquet assemblato
459,16.22.0,16.22.0 - Fabbricazione di pavimenti in parquet assemblato
460,16.22.00,16.22.00 - Fabbricazione di pavimenti in parquet assemblato
461,16.23,16.23 - Fabbricazione di altri prodotti di carpenteria in legno e falegnameria per l'edilizia
462,16.23.1,16.23.1 - Fabbricazione di porte e finestre in legno (escluse porte blindate)
463,16.23.10,16.23.10 - Fabbricazione di porte e finestre in legno (escluse porte blindate)
464,16.23.2,16.23.2 - Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia
465,16.23.20,16.23.20 - Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia
466,16.24,16.24 - Fabbricazione di imballaggi in legno
467,16.24.0,16.24.0 - Fabbricazione di imballaggi in legno
468,16.24.00,16.24.00 - Fabbricazione di imballaggi in legno
469,16.29,"16.29 - Fabbricazione di altri prodotti in legno, sughero, paglia e materiali da intreccio"
470,16.29.1,16.29.1 - Fabbricazione di prodotti vari in legno (esclusi i mobili)
471,16.29.11,16.29.11 - Fabbricazione di parti in legno per calzature
472,16.29.12,"16.29.12 - Fabbricazione di manici di ombrelli, bastoni e simili"
473,16.29.19,16.29.19 - Fabbricazione di altri prodotti vari in legno (esclusi i mobili)
474,16.29.2,16.29.2 - Fabbricazione dei prodotti della lavorazione del sughero
475,16.29.20,16.29.20 - Fabbricazione dei prodotti della lavorazione del sughero
476,16.29.3,16.29.3 - Fabbricazione di articoli in paglia e materiali da intreccio
477,16.29.30,16.29.30 - Fabbricazione di articoli in paglia e materiali da intreccio
478,16.29.4,16.29.4 - Laboratori di corniciai
479,16.29.40,16.29.40 - Laboratori di corniciai
480,17,17 - FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA
481,17.1,"17.1 - FABBRICAZIONE DI PASTA-CARTA, CARTA E CARTONE"
482,17.11,17.11 - Fabbricazione di pasta-carta
483,17.11.0,17.11.0 - Fabbricazione di pasta-carta
484,17.11.00,17.11.00 - Fabbricazione di pasta-carta
485,17.12,17.12 - Fabbricazione di carta e cartone
486,17.12.0,17.12.0 - Fabbricazione di carta e cartone
487,17.12.00,17.12.00 - Fabbricazione di carta e cartone
488,17.2,17.2 - FABBRICAZIONE DI ARTICOLI DI CARTA E CARTONE
489,17.21,17.21 - Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone
490,17.21.0,17.21.0 - Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone (esclusi quelli in carta pressata)
491,17.21.00,17.21.00 - Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone (esclusi quelli in carta pressata)
492,17.22,17.22 - Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa
493,17.22.0,17.22.0 - Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa
494,17.22.00,17.22.00 - Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa
495,17.23,17.23 - Fabbricazione di prodotti cartotecnici
496,17.23.0,17.23.0 - Fabbricazione di prodotti cartotecnici
497,17.23.01,17.23.01 - Fabbricazione di prodotti cartotecnici scolastici e commerciali quando l'attività di stampa non è la principale caratteristica
498,17.23.09,17.23.09 - Fabbricazione di altri prodotti cartotecnici
499,17.24,17.24 - Fabbricazione di carta da parati
500,17.24.0,17.24.0 - Fabbricazione di carta da parati
501,17.24.00,17.24.00 - Fabbricazione di carta da parati
502,17.29,17.29 - Fabbricazione di altri articoli di carta e cartone
503,17.29.0,17.29.0 - Fabbricazione di altri articoli di carta e cartone
504,17.29.00,17.29.00 - Fabbricazione di altri articoli di carta e cartone
505,18,18 - STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI
506,18.1,18.1 - STAMPA E SERVIZI CONNESSI ALLA STAMPA
507,18.11,18.11 - Stampa di giornali
508,18.11.0,18.11.0 - Stampa di giornali
509,18.11.00,18.11.00 - Stampa di giornali
510,18.12,18.12 - Altra stampa
511,18.12.0,18.12.0 - Altra stampa
512,18.12.00,18.12.00 - Altra stampa
513,18.13,18.13 - Lavorazioni preliminari alla stampa e ai media
514,18.13.0,18.13.0 - Lavorazioni preliminari alla stampa e ai media
515,18.13.00,18.13.00 - Lavorazioni preliminari alla stampa e ai media
516,18.14,18.14 - Legatoria e servizi connessi
517,18.14.0,18.14.0 - Legatoria e servizi connessi
518,18.14.00,18.14.00 - Legatoria e servizi connessi
519,18.2,18.2 - RIPRODUZIONE DI SUPPORTI REGISTRATI
520,18.20,18.20 - Riproduzione di supporti registrati
521,18.20.0,18.20.0 - Riproduzione di supporti registrati
522,18.20.00,18.20.00 - Riproduzione di supporti registrati
523,19,19 - FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO
524,19.1,19.1 - FABBRICAZIONE DI PRODOTTI DI COKERIA
525,19.10,19.10 - Fabbricazione di prodotti di cokeria
526,19.10.0,19.10.0 - Fabbricazione di prodotti di cokeria
527,19.10.01,19.10.01 - Fabbricazione di pece e coke di pece
528,19.10.09,19.10.09 - Fabbricazione di altri prodotti di cokeria
529,19.2,19.2 - FABBRICAZIONE DI PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO
530,19.20,19.20 - Fabbricazione di prodotti derivanti dalla raffinazione del petrolio
531,19.20.1,19.20.1 - Raffinerie di petrolio
532,19.20.10,19.20.10 - Raffinerie di petrolio
533,19.20.2,19.20.2 - Preparazione o miscelazione di derivati del petrolio (esclusa la petrolchimica)
534,19.20.20,19.20.20 - Preparazione o miscelazione di derivati del petrolio (esclusa la petrolchimica)
535,19.20.3,19.20.3 - Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento
536,19.20.30,19.20.30 - Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento
537,19.20.4,"19.20.4 - Fabbricazione di emulsioni di bitume, di catrame e di leganti per uso stradale"
538,19.20.40,"19.20.40 - Fabbricazione di emulsioni di bitume, di catrame e di leganti per uso stradale"
539,19.20.9,19.20.9 - Fabbricazione di altri prodotti petroliferi raffinati
540,19.20.90,19.20.90 - Fabbricazione di altri prodotti petroliferi raffinati
541,20,20 - FABBRICAZIONE DI PRODOTTI CHIMICI
542,20.1,"20.1 - FABBRICAZIONE DI PRODOTTI CHIMICI DI BASE, DI FERTILIZZANTI E COMPOSTI AZOTATI, DI MATERIE PLASTICHE E GOMMA SINTETICA IN FORME PRIMARIE"
543,20.11,20.11 - Fabbricazione di gas industriali
544,20.11.0,20.11.0 - Fabbricazione di gas industriali
545,20.11.00,20.11.00 - Fabbricazione di gas industriali
546,20.12,20.12 - Fabbricazione di coloranti e pigmenti
547,20.12.0,20.12.0 - Fabbricazione di coloranti e pigmenti
548,20.12.00,20.12.00 - Fabbricazione di coloranti e pigmenti
549,20.13,20.13 - Fabbricazione di altri prodotti chimici di base inorganici
550,20.13.0,20.13.0 - Fabbricazione di altri prodotti chimici di base inorganici
551,20.13.01,20.13.01 - Fabbricazione di uranio e torio arricchito
552,20.13.09,20.13.09 - Fabbricazione di altri prodotti chimici di base inorganici
553,20.14,20.14 - Fabbricazione di altri prodotti chimici di base organici
554,20.14.0,20.14.0 - Fabbricazione di altri prodotti chimici di base organici
555,20.14.01,20.14.01 - Fabbricazione di alcol etilico da materiali fermentati
556,20.14.09,20.14.09 - Fabbricazione di altri prodotti chimici di base organici nca
557,20.15,20.15 - Fabbricazione di fertilizzanti e composti azotati
558,20.15.0,20.15.0 - Fabbricazione di fertilizzanti e composti azotati (esclusa la fabbricazione di compost)
559,20.15.00,20.15.00 - Fabbricazione di fertilizzanti e composti azotati (esclusa la fabbricazione di compost)
560,20.16,20.16 - Fabbricazione di materie plastiche in forme primarie
561,20.16.0,20.16.0 - Fabbricazione di materie plastiche in forme primarie
562,20.16.00,20.16.00 - Fabbricazione di materie plastiche in forme primarie
563,20.17,20.17 - Fabbricazione di gomma sintetica in forme primarie
564,20.17.0,20.17.0 - Fabbricazione di gomma sintetica in forme primarie
565,20.17.00,20.17.00 - Fabbricazione di gomma sintetica in forme primarie
566,20.2,20.2 - FABBRICAZIONE DI AGROFARMACI E DI ALTRI PRODOTTI CHIMICI PER L'AGRICOLTURA
567,20.20,20.20 - Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura
568,20.20.0,20.20.0 - Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura (esclusi i concimi)
569,20.20.00,20.20.00 - Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura (esclusi i concimi)
570,20.3,"20.3 - FABBRICAZIONE DI PITTURE, VERNICI E SMALTI, INCHIOSTRI DA STAMPA E ADESIVI SINTETICI (MASTICI)"
571,20.30,"20.30 - Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici)"
572,20.30.0,"20.30.0 - Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici)"
573,20.30.00,"20.30.00 - Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici)"
574,20.4,"20.4 - FABBRICAZIONE DI SAPONI E DETERGENTI, DI PRODOTTI PER LA PULIZIA E LA LUCIDATURA, DI PROFUMI E COSMETICI"
575,20.41,"20.41 - Fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura"
576,20.41.1,"20.41.1 - Fabbricazione di saponi, detergenti e di agenti organici tensioattivi (esclusi i prodotti per toletta)"
577,20.41.10,"20.41.10 - Fabbricazione di saponi, detergenti e di agenti organici tensioattivi (esclusi i prodotti per toletta)"
578,20.41.2,20.41.2 - Fabbricazione di specialità chimiche per uso domestico e per manutenzione
579,20.41.20,20.41.20 - Fabbricazione di specialità chimiche per uso domestico e per manutenzione
580,20.42,20.42 - Fabbricazione di profumi e cosmetici
581,20.42.0,"20.42.0 - Fabbricazione di prodotti per toletta: profumi, cosmetici, saponi e simili"
582,20.42.00,"20.42.00 - Fabbricazione di prodotti per toletta: profumi, cosmetici, saponi e simili"
583,20.5,20.5 - FABBRICAZIONE DI ALTRI PRODOTTI CHIMICI
584,20.51,20.51 - Fabbricazione di esplosivi
585,20.51.0,20.51.0 - Fabbricazione di esplosivi
586,20.51.01,20.51.01 - Fabbricazione di fiammiferi
587,20.51.02,20.51.02 - Fabbricazione di articoli esplosivi
588,20.52,20.52 - Fabbricazione di colle
589,20.52.0,20.52.0 - Fabbricazione di colle
590,20.52.00,20.52.00 - Fabbricazione di colle
591,20.53,20.53 - Fabbricazione di oli essenziali
592,20.53.0,20.53.0 - Fabbricazione di oli essenziali
593,20.53.00,20.53.00 - Fabbricazione di oli essenziali
594,20.59,20.59 - Fabbricazione di prodotti chimici nca
595,20.59.1,20.59.1 - Fabbricazione di prodotti chimici per uso fotografico
596,20.59.10,20.59.10 - Fabbricazione di prodotti chimici per uso fotografico
597,20.59.2,20.59.2 - Fabbricazione di prodotti chimici organici ottenuti da prodotti di base derivati da processi di fermentazione o da materie prime vegetali
598,20.59.20,20.59.20 - Fabbricazione di prodotti chimici organici ottenuti da prodotti di base derivati da processi di fermentazione o da materie prime vegetali
599,20.59.3,20.59.3 - Trattamento chimico degli acidi grassi
600,20.59.30,20.59.30 - Trattamento chimico degli acidi grassi
601,20.59.4,20.59.4 - Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e antigelo)
602,20.59.40,20.59.40 - Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e antigelo)
603,20.59.5,20.59.5 - Fabbricazione di prodotti chimici impiegati per ufficio e per il consumo non industriale
604,20.59.50,20.59.50 - Fabbricazione di prodotti chimici impiegati per ufficio e per il consumo non industriale
605,20.59.6,20.59.6 - Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio
606,20.59.60,20.59.60 - Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio
607,20.59.7,"20.59.7 - Fabbricazione di prodotti elettrochimici (esclusa produzione di cloro, soda e potassa) ed elettrotermici"
608,20.59.70,"20.59.70 - Fabbricazione di prodotti elettrochimici (esclusa produzione di cloro, soda e potassa) ed elettrotermici"
609,20.59.9,20.59.9 - Fabbricazione di altri prodotti chimici nca
610,20.59.90,20.59.90 - Fabbricazione di altri prodotti chimici nca
611,20.6,20.6 - FABBRICAZIONE DI FIBRE SINTETICHE E ARTIFICIALI
612,20.60,20.60 - Fabbricazione di fibre sintetiche e artificiali
613,20.60.0,20.60.0 - Fabbricazione di fibre sintetiche e artificiali
614,20.60.00,20.60.00 - Fabbricazione di fibre sintetiche e artificiali
615,21,21 - FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE E DI PREPARATI FARMACEUTICI
616,21.1,21.1 - FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE
617,21.10,21.10 - Fabbricazione di prodotti farmaceutici di base
618,21.10.0,21.10.0 - Fabbricazione di prodotti farmaceutici di base
619,21.10.00,21.10.00 - Fabbricazione di prodotti farmaceutici di base
620,21.2,21.2 - FABBRICAZIONE DI MEDICINALI E PREPARATI FARMACEUTICI
621,21.20,21.20 - Fabbricazione di medicinali e preparati farmaceutici
622,21.20.0,21.20.0 - Fabbricazione di medicinali e preparati farmaceutici
623,21.20.01,21.20.01 - Fabbricazione di sostanze diagnostiche radioattive in vivo
624,21.20.09,21.20.09 - Fabbricazione di medicinali ed altri preparati farmaceutici
625,22,22 - FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE
626,22.1,22.1 - FABBRICAZIONE DI ARTICOLI IN GOMMA
627,22.11,22.11 - Fabbricazione di pneumatici e camere d'aria; rigenerazione e ricostruzione di pneumatici
628,22.11.1,22.11.1 - Fabbricazione di pneumatici e di camere d'aria
